                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2022


NAME: Clahane, Clare, Ireland                  
ELEV: 20 meters    LAT: 52-56.11 N    LONG: 009-25.03 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   13.5   16.2  12:30   12.1  03:30    4.8    0.0   0.10   28.7   54.7  02:30    274
 02   13.1   17.6  14:00   10.2  08:30    5.3    0.0   0.02   11.5   33.8  01:00    284
 03   15.3   17.4  14:30   12.1  00:30    3.1    0.0   0.00   25.6   64.4  22:30    158
 04   14.8   16.9  01:00   13.2  00:00    3.5    0.0   1.96   20.6   59.5  01:00    196
 05   11.7   13.9  00:00    9.7  10:00    6.6    0.0   0.82   30.8   77.2  12:30    266
 06   14.7   15.5  12:00   12.9  04:00    3.6    0.0   0.26   34.2   67.6  00:00    240
 07   12.6   15.0  01:30   10.3  19:30    5.7    0.0   0.40   31.8   64.4  04:30    272
 08   12.1   15.3  12:30    9.8  08:30    6.2    0.0   0.02   16.7   40.2  23:00    210
 09   11.6   14.9  14:00    8.3  19:00    6.7    0.0   0.78   26.2   61.2  13:00    135
 10   11.4   16.1  14:00    8.9  21:00    6.9    0.0   0.10   15.3   45.1  02:00    315
 11   12.1   13.7  15:30   11.0  07:30    6.2    0.0   0.08   20.8   46.7  20:30    158
 12   11.8   14.1  02:30    7.9  00:00    6.5    0.0   0.24   13.0   46.7  01:00    269
 13   10.8   14.8  15:00    6.4  07:00    7.5    0.0   0.00   13.5   53.1  14:00    224
 14   12.0   15.1  14:30    9.9  07:30    6.3    0.0   0.08   20.8   57.9  00:00    240
 15    9.7   12.2  10:00    7.6  22:00    8.6    0.0   0.44   33.6   82.1  11:30    252
 16    8.9   11.3  23:30    7.1  11:30    9.4    0.0   0.24   20.1   59.5  00:30    115
 17   11.5   15.0  14:30    7.6  00:00    6.8    0.0   0.10   31.9   98.2  04:30    227
 18   11.5   16.4  15:00    7.2  03:00    6.8    0.0   0.00   17.8   53.1  15:30     86
 19   13.2   14.4  12:00   11.9  00:30    5.1    0.0   0.02   20.7   48.3  19:00     89
 20   13.4   15.9  13:30   11.8  02:30    4.9    0.0   0.02   19.3   41.8  01:30    109
 21   14.1   15.7  14:00   12.9  02:30    4.3    0.0   0.06   20.9   54.7  12:00    108
 22   12.8   14.5  16:30   10.2  22:00    5.5    0.0   0.86   24.5   67.6  06:00    208
 23   12.6   14.3  16:30   11.1  22:00    5.8    0.0   0.86    5.6   22.5  06:30     88
 24   12.7   14.3  14:00   11.2  00:00    5.6    0.0   0.32   19.3   38.6  20:00    245
 25   13.2   15.7  14:30   11.1  02:30    5.2    0.0   0.26   21.4   54.7  22:30    129
 26   13.1   14.6  12:00   12.0  21:30    5.2    0.0   0.28   31.2   82.1  09:00    172
 27   14.4   17.7  13:30   12.1  06:30    3.9    0.0   0.20   21.1   56.3  18:30    131
 28   13.0   16.2  13:00   10.9  07:00    5.4    0.0   0.16   21.1   62.8  14:00    153
 29   12.7   16.3  13:30   11.7  10:00    5.6    0.0   0.74   23.1   56.3  18:00    127
 30   12.6   14.6  13:00   11.5  08:30    5.7    0.0   0.10   26.4   53.1  14:30    153
 31   10.8   13.8  01:30    8.4  22:47    7.5    0.0   0.98   15.1   56.3  02:00    158
---------------------------------------------------------------------------------------
      12.5   17.7     27    6.4     13  180.5    0.0  10.50   22.0   98.2     17    194
