                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2022


NAME: Clahane, Clare, Ireland                  
ELEV: 20 meters    LAT: 52-56.11 N    LONG: 009-25.03 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   10.0   11.7  10:59    8.4  14:26    8.3    0.0   0.76   28.3   64.4  18:04    248
 02   10.3   12.9  10:30    8.1  21:00    8.0    0.0   1.80   40.0  101.4  11:30    212
 03    8.2   12.6  13:00    6.4  09:30   10.1    0.0   0.98   17.2   61.2  01:00    133
 04   10.1   12.7  12:19    7.3  00:12    8.3    0.0   0.34   16.4   38.6  17:30    253
 05   11.4   13.7  12:57    9.3  08:03    6.9    0.0   0.30   23.6   45.1  00:54    178
 06   10.6   12.7  13:13    9.0  01:32    7.7    0.0   1.40   28.3   61.2  13:22    185
 07   11.8   13.8  13:28    8.3  23:55    6.6    0.0   1.84   27.7   62.8  02:09    169
 08   10.1   11.7  14:43    8.3  00:29    8.2    0.0   0.50   27.9   57.9  14:52    214
 09   12.0   13.8  23:19    9.7  07:56    6.3    0.0   0.12   32.0   66.0  15:20    233
 10   14.5   15.4  13:08   13.6  00:25    3.8    0.0   0.10   36.4   80.5  13:44    194
 11   13.3   15.6  06:11    9.6  20:09    5.0    0.0   0.18   23.3   66.0  04:00    170
 12   13.0   14.3  13:55   10.7  00:00    5.3    0.0   0.68   22.0   56.3  21:29    114
 13   12.7   14.7  08:41   10.3  00:00    5.6    0.0   0.24   23.0   64.4  04:24    126
 14   10.4   12.4  20:50    8.5  08:11    8.0    0.0   0.16   29.0   83.7  18:43    131
 15    8.7   11.3  12:57    7.3  22:42    9.6    0.0   0.02   22.9   64.4  00:25    150
 16    5.3   10.5  13:01    2.2  05:21   13.0    0.0   0.00    4.0   22.5  00:00     57
 17    7.0   11.3  13:25    2.9  01:20   11.3    0.0   0.50   11.7   53.1  22:30    317
 18    7.0    9.4  15:00    2.4  23:55   11.4    0.0   0.00   14.8   51.5  04:30    320
 19    7.0   10.2  23:33    1.7  00:43   11.3    0.0   0.30   22.1   57.9  23:37    173
 20    8.5   10.2  04:50    6.4  08:26    9.8    0.0   0.68   27.2   72.4  12:58    249
 21    8.3    9.6  01:22    6.2  08:08   10.0    0.0   0.68   37.8   75.6  18:21    272
 22    7.5    9.8  01:15    4.8  08:29   10.8    0.0   0.36   14.6   66.0  00:06    338
 23    9.0   10.5  12:46    7.6  00:00    9.4    0.0   1.10   39.5   90.1  13:34    247
 24    8.9   11.0  12:30    7.0  17:30    9.4    0.0   2.02   36.6   96.6  14:00    206
 25   10.4   11.6  15:00    8.2  01:30    7.9    0.0   0.06   29.8   70.8  01:00    227
 26   12.2   13.8  14:00   11.0  02:30    6.2    0.0   0.14   33.9   83.7  19:00    165
 27    9.5   11.3  00:30    7.9  16:00    8.8    0.0   0.50   28.6   74.0  14:30    177
 28    9.1   11.6  13:36    7.7  21:36    9.3    0.0   0.06   20.6   59.5  04:20    305
 29    7.9    9.8  00:00    5.8  02:29   10.5    0.0   0.06   12.3   37.0  13:01    115
 30   11.3   12.7  13:30    9.8  00:30    7.0    0.0   0.04   13.2   32.2  11:30    123
---------------------------------------------------------------------------------------
       9.9   15.6     11    1.7     19  253.9    0.0  15.92   24.8  101.4     02    198
